t =     0, instruction = 0000000000000000, clk = 0, outM = 0000000000000000, writeM = 0, addressM = 0000000000000000, pcaddr = 0000000000000000
t =     0, instruction = 0011000000111001, clk = 1, outM = 0000000000000000, writeM = 0, addressM = 0000000000000000, pcaddr = 0000000000000000
t =     1, instruction = 0011000000111001, clk = 0, outM = 0000000000000000, writeM = 0, addressM = 0011000000111001, pcaddr = 0000000000000001
t =     1, instruction = 1110110000010000, clk = 1, outM = 0011000000111001, writeM = 0, addressM = 0011000000111001, pcaddr = 0000000000000001
t =     2, instruction = 1110110000010000, clk = 0, outM = 0011000000111001, writeM = 0, addressM = 0011000000111001, pcaddr = 0000000000000010
t =     2, instruction = 0101101110100000, clk = 1, outM = 1111111111111111, writeM = 0, addressM = 0011000000111001, pcaddr = 0000000000000010
t =     3, instruction = 0101101110100000, clk = 0, outM = 1111111111111111, writeM = 0, addressM = 0101101110100000, pcaddr = 0000000000000011
t =     3, instruction = 1110000111110000, clk = 1, outM = 0010101101100111, writeM = 0, addressM = 0101101110100000, pcaddr = 0000000000000011
t =     4, instruction = 1110000111110000, clk = 0, outM = 0000000000000000, writeM = 0, addressM = 0010101101100111, pcaddr = 0000000000000100
t =     4, instruction = 0000001111101011, clk = 1, outM = 1101010010011001, writeM = 0, addressM = 0010101101100111, pcaddr = 0000000000000100
t =     5, instruction = 0000001111101011, clk = 0, outM = 1101010010011001, writeM = 0, addressM = 0000001111101011, pcaddr = 0000000000000101
t =     5, instruction = 1110001100001000, clk = 1, outM = 0010101101100111, writeM = 1, addressM = 0000001111101011, pcaddr = 0000000000000101
t =     6, instruction = 1110001100001000, clk = 0, outM = 0010101101100111, writeM = 1, addressM = 0000001111101011, pcaddr = 0000000000000110
t =     6, instruction = 0000001111101100, clk = 1, outM = 1101010010011001, writeM = 0, addressM = 0000001111101011, pcaddr = 0000000000000110
t =     7, instruction = 0000001111101100, clk = 0, outM = 1101010010011001, writeM = 0, addressM = 0000001111101100, pcaddr = 0000000000000111
t =     7, instruction = 1110001110011000, clk = 1, outM = 0010101101100110, writeM = 1, addressM = 0000001111101100, pcaddr = 0000000000000111
t =     8, instruction = 1110001110011000, clk = 0, outM = 0010101101100101, writeM = 1, addressM = 0000001111101100, pcaddr = 0000000000001000
t =     8, instruction = 0000001111101000, clk = 1, outM = 1101010010011010, writeM = 0, addressM = 0000001111101100, pcaddr = 0000000000001000
t =     9, instruction = 0000001111101000, clk = 0, outM = 1101010010011010, writeM = 0, addressM = 0000001111101000, pcaddr = 0000000000001001
t =     9, instruction = 1111010011110000, clk = 1, outM = 1111111111111111, writeM = 0, addressM = 0000001111101000, pcaddr = 0000000000001001
t =    10, instruction = 1111010011110000, clk = 0, outM = 1101010010011000, writeM = 0, addressM = 0111111111111111, pcaddr = 0000000000001010
t =    10, instruction = 0000000000001110, clk = 1, outM = 1111111111111111, writeM = 0, addressM = 0111111111111111, pcaddr = 0000000000001010
t =    11, instruction = 0000000000001110, clk = 0, outM = 0000000000001110, writeM = 0, addressM = 0000000000001110, pcaddr = 0000000000001011
t =    11, instruction = 1110001100000100, clk = 1, outM = 1111111111111111, writeM = 0, addressM = 0000000000001110, pcaddr = 0000000000001011
t =    12, instruction = 1110001100000100, clk = 0, outM = 1111111111111111, writeM = 0, addressM = 0000000000001110, pcaddr = 0000000000001110
t =    12, instruction = 0000001111100111, clk = 1, outM = 0000000000000001, writeM = 0, addressM = 0000000000001110, pcaddr = 0000000000001110
t =    13, instruction = 0000001111100111, clk = 0, outM = 0000000000000001, writeM = 0, addressM = 0000001111100111, pcaddr = 0000000000001111
