t =     0, in =     0, clk = 0, incr = 0, load = 0, reset = 1, out =     x
t =     0, in =     0, clk = 1, incr = 0, load = 0, reset = 0, out =     x
t =     1, in =     0, clk = 0, incr = 0, load = 0, reset = 0, out =     0
t =     1, in =     0, clk = 1, incr = 1, load = 0, reset = 0, out =     0
t =     2, in =     0, clk = 0, incr = 1, load = 0, reset = 0, out =     1
t =     2, in = 33413, clk = 1, incr = 1, load = 0, reset = 0, out =     1
t =     3, in = 33413, clk = 0, incr = 1, load = 0, reset = 0, out =     2
t =     3, in = 33413, clk = 1, incr = 1, load = 1, reset = 0, out =     2
t =     4, in = 33413, clk = 0, incr = 1, load = 1, reset = 0, out = 33413
t =     4, in = 33413, clk = 1, incr = 1, load = 0, reset = 0, out = 33413
t =     5, in = 33413, clk = 0, incr = 1, load = 0, reset = 0, out = 33414
t =     5, in = 33413, clk = 1, incr = 1, load = 0, reset = 0, out = 33414
t =     6, in = 33413, clk = 0, incr = 1, load = 0, reset = 0, out = 33415
t =     6, in = 12345, clk = 1, incr = 0, load = 1, reset = 0, out = 33415
t =     7, in = 12345, clk = 0, incr = 0, load = 1, reset = 0, out = 12345
t =     7, in = 12345, clk = 1, incr = 0, load = 1, reset = 1, out = 12345
t =     8, in = 12345, clk = 0, incr = 0, load = 1, reset = 1, out =     0
t =     8, in = 12345, clk = 1, incr = 1, load = 1, reset = 0, out =     0
t =     9, in = 12345, clk = 0, incr = 1, load = 1, reset = 0, out = 12345
t =     9, in = 12345, clk = 1, incr = 1, load = 1, reset = 1, out = 12345
t =    10, in = 12345, clk = 0, incr = 1, load = 1, reset = 1, out =     0
t =    10, in = 12345, clk = 1, incr = 1, load = 0, reset = 0, out =     0
t =    11, in = 12345, clk = 0, incr = 1, load = 0, reset = 0, out =     1
t =    11, in = 12345, clk = 1, incr = 1, load = 0, reset = 1, out =     1
t =    12, in = 12345, clk = 0, incr = 1, load = 0, reset = 1, out =     0
t =    12, in =     0, clk = 1, incr = 1, load = 1, reset = 0, out =     0
t =    13, in =     0, clk = 0, incr = 1, load = 1, reset = 0, out =     0
t =    13, in =     0, clk = 1, incr = 1, load = 0, reset = 0, out =     0
t =    14, in =     0, clk = 0, incr = 1, load = 0, reset = 0, out =     1
t =    14, in = 22222, clk = 1, incr = 0, load = 0, reset = 1, out =     1
t =    15, in = 22222, clk = 0, incr = 0, load = 0, reset = 1, out =     0
